日付,銘柄,記事,月足前提,月足前提_正規化,日足シグナル,直前ポジション,実行操作,理由の原文要約,結果,再現ルール候補,ルール系統,失敗類型
2026-02-04,システナ2317,https://note.com/origindiamond/n/n21f0432e9904,4ヶ月目で上昇しないまま停滞,想定外停滞,連続陰線,売0:買0,全撤退,下ひげ上昇想定が崩れ全建玉を損切りした;反省として4ヶ月目で一度撤退すべきだったと記録,約-100万,想定した上昇月数を超えても上昇しない場合は日足改善を待たず一度全撤退する,時間切れ撤退,想定外停滞
2025-12-02,宝HD2531,https://note.com/origindiamond/n/nde71832519de,月足が天井圏で2ヶ月下落しており今月陽線化を狙う,天井圏反落候補,20下20消化;コマ,売0:買0,売り追加1;買い追加3,これ以上は下げにくいと見て買い優位で開始,開始局面,月足が天井圏反落候補で日足が20下20消化後のコマなら買い優位の両建てで始める,初期エントリー,
2025-12-04,宝HD2531,https://note.com/origindiamond/n/nde71832519de,反発初動を確認したい局面,天井圏反落候補,戻し陽線,売3:買4,売り損切り1;買い追加2,戻し陽線を見て攻め寄りに調整した,反発期待継続,天井圏反落候補で戻し陽線が出たら売りを一部切って買いを追加する,追加条件,
2025-12-11,宝HD2531,https://note.com/origindiamond/n/nde71832519de,伸びないなら横ばい化を警戒,横ばい継続,コマ全消し,売2:買9,買い利確9;売り損切り2,伸びないままコマ全消しになり横ばい化を想定して全利確,短期終了,反発狙いで入った後にコマ全消しで伸びが止まったら全利確して仕切り直す,利確条件,利確後の再乗り遅れ
2025-09-19,カプコン9697,https://note.com/origindiamond/n/nb2d40fe03a53,月足が天井ボックス圏に入り出し陽線化か来月陰線かの分岐,天井圏反落候補,底値固め後の陰線,売0:買0,売り追加2;買い追加1,上昇も下落もあり得るため売り優位で両建て開始,開始局面,月足が天井圏反落候補で方向不明なら売り優位の小口両建てで始める,初期エントリー,
2025-09-22,カプコン9697,https://note.com/origindiamond/n/nb2d40fe03a53,下落再開を疑う,天井圏反落候補,連続陰線,売2:買1,売り追加2;買い追加1,連続陰線はそのまま下がるパターンと見て売り優位を増やす,下落想定強化,天井圏反落候補で連続陰線が出たら売り優位を増やす,追加条件,
2025-10-09,カプコン9697,https://note.com/origindiamond/n/nb2d40fe03a53,上昇限界の兆しを待っていた局面,天井圏反落候補,コマ全消し陰線,売6:買6,買い利確2;売り追加2;買い追加1,下落の決定打と見て買いを落としながら翌日の戻しにも備えた,売り転換の初動,天井圏反落候補でコマ全消し陰線が出たら買いを利確し売りを増やして反転に備える,ヘッジ切替,
2025-10-14,カプコン9697,https://note.com/origindiamond/n/nb2d40fe03a53,反落本格化を狙う,天井圏反落候補,窓下げ;3%下落,売10:買4,買い利確2;売り追加2,窓下げで下落本格化と判断して下からの買いを全て利確した,下からの買いを全利確して+13万,天井圏反落候補で窓下げが出たら逆張り買いを全て利確して売り側へ寄せる,ヘッジ切替,
2025-11-12,カプコン9697,https://note.com/origindiamond/n/nb2d40fe03a53,下落に乗る前提を維持,天井圏反落候補,下から始まるコマ,売2:買11,買い損切り4;売り追加3,上昇するなら強い陽線のはずなのに出ないため買いを切って売りを戻した,下落側へ再調整,反落狙いで下から始まるコマが出て強い陽線にならない場合は買いを損切りして売りを戻す,ヘッジ切替,
2025-11-21,カプコン9697,https://note.com/origindiamond/n/nb2d40fe03a53,前安値割れ後の戻り売り候補,天井圏反落候補,戻し陽線,売6:買7,買い利確2;買い損切り1;売り追加5,戻りの限界と見て下落トレンドに乗るため売りを積み直した,仕込み直し,前安値割れ後の戻し陽線では買いを整理して売りを大きく積み直す,追加条件,
